Olivia Rodrigo,drivers license,"I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today I drove through the suburbs
Crying 'cause you weren't around
And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today I drove through the suburbs
'Cause how could I ever love someone else?
And I know we weren't perfect but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street
And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
'Cause they'll never know you the way that I do, yeah
Today I drove through the suburbs
And pictured I was driving home to you
And I know we weren't perfect
But I've never felt this way for no one, oh
And I just can't imagine how you could be so okay, now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street
Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fuckin' love you, babe (ooh, ooh, ooh, ooh)
Sidewalks we crossed
I still hear your voice in the traffic, we're laughing
Over all the noise
God, I'm so blue, know we're through
But I still fuckin' love you, babe (ooh, ooh, ooh, ooh)
I know we weren't perfect but I've never felt this way for no one
And I just can't imagine how you could be so okay, now that I'm gone
'Cause you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street
Yeah, you said forever, now I drive alone past your street"
Lil Nas X,MONTERO (Call Me By Your Name),"I caught it bad yesterday
You hit me with a call to your place
Ain't been out in a while anyway
Was hoping I could catch you throwing smiles in my face
Romantic talking? You don't even have to try
You're cute enough to fuck with me tonight
Looking at the table and I see the reason why
Baby, you living the life, but nigga, you ain't livin' right
Cocaine and drinking with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can
Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Ayy, ayy
I wanna sell what you're buying
I wanna feel on yo' ass in Hawaii
I want that jet lag from fucking and flying
Shoot a child in your mouth while I'm riding
Oh, oh, oh, why me?
A sign of the times every time that I speak
A dime and a nine, it was mine every week
What a time, an incline, God was shining on me
Now I can't leave
And now I'm acting hella elite
Never want the niggas that's in my league
I wanna fuck the ones I envy, I envy
Cocaine and drinking with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can
Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like
Oh, call me by your name (mmm, mmm, mmm)
Tell me you love me in private
Call me by your name (mmm, mmm, mmm)
I do not care if you lying
Well, I'm just feeling, mm-uh
I wanna get, mm-uh
I'm in my, into my, uh
I'm mm, mm
I'm still, mm, mm-mm, ooh"
The Kid LAROI,STAY (with Justin Bieber),"I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
Know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey (Oh)

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
Oh, I'll be fucked up if you can't be right here

Oh, ooh-whoa (Oh, ooh-whoa, ooh-whoa)
Oh, ooh-whoa (Oh, ooh-whoa, ooh-whoa)
Oh, ooh-whoa (Oh, ooh-whoa, ooh-whoa)
Oh, I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
Know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
Know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey

When I'm away from you, I miss your touch (Ooh)
You're the reason I believe in love
It's been difficult for me to trust (Ooh)
And I'm afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain't never left me empty-handed
And you know that I know that I can't live without you
So, baby, stay

Oh, ooh-whoa (Oh, ooh-whoa, ooh-whoa)
Oh, ooh-whoa (Oh, ooh-whoa, ooh-whoa)
Oh, ooh-whoa (Oh, ooh-whoa, ooh-whoa)
I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
Know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
Know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey

Whoa-oh
I need you to stay, need you to stay, hey"
Olivia Rodrigo,good 4 u,"Well, good for you, I guess you moved on really easily
You found a new girl, and it only took a couple weeks
Remember when you said that you wanted to give me the world? (World)
And good for you, I guess that you've been working on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand-new girl (girl)
Well, good for you, you look happy and healthy
Not me, if you ever cared to ask
Good for you, you're doing great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you
Well, good for you, I guess you're getting everything you want (ah)
You bought a new car and your career's really taking off (ah)
It's like we never even happened
Baby, what the fuck is up with that? (Ha)
And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you?
Well, screw that and screw you
You will never have to hurt the way you know that I do
Well, good for you, you look happy and healthy
Not me, if you ever cared to ask
Good for you, you're doing great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you
Ah-ah-ah-ah
Ah-ah-ah-ah
Maybe I'm too emotional
But your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Well, good for you, you look happy and healthy
Not me, if you ever cared to ask
Good for you, you're doing great out there without me, baby
Like a damn sociopath
I've lost my mind, I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you
Well, good for you, I guess you moved on really easily"
Dua Lipa,Levitating (feat. DaBaby),"Ladies and gentleman
Juvie introducing Jazze Phazzle
Blac Youngsta
DaBaby
Suckin' like a pro (whore)
Bad bitch, pulled down, popped up, fuck me like a pro (whore)
I'm in California, legs propped up, smoking out the boat
I'm a young rich nigga, bossed up, feed me like a GOAT
Bad bitch, bad bitch, bad bitch, fuck me like a pro (gang, gang)
Bad bitches put your back into it
Broke up with my bitch, you know we back into it (fuck me like a pro)
Fucking bitches out in Hollywood
Bring yo' partners, make sure that my partner's good (fuck me like a pro)
I'ma run a train, make 'em line up, fuck 'em all together
She was here when I ain't really have shit, we gon' ball together (my bitch)
My bitch she a really good bitch, do what I tell her (thick)
If you heard the way she call me ""Da da""
You would think I had her (papa)
I'm the type of nigga that'll pick my shit and leave
Type of nigga keep a bad bitch up my sleeve
Fuck me like a pro (gang, gang)
I'm the type of nigga that'd put up with the weed
Type of nigga keep a bad bitch on her knees
Sucked it like a pro
You the type of nigga tryna keep up with the speed
I'm the type of nigga tell the hoe I can't read
'Cause I'm kinda slow (whore)
Fucked a tall lanky bad bitch in the trees
When I told my homeboys, they couldn't believe, that she
Sucked it like a pro (whore)
Bad bitch, pulled down, popped up, fuck me like a pro (whore)
I'm in California, legs propped up, smoking out the boat
I'm a young rich nigga, bossed up, feed me like a GOAT
Bad bitch, bad bitch, bad bitch, fuck me like a pro (gang, gang)
Bad bitches put your back into it
Broke up with my bitch, you know we back into it (fuck me like a pro)
Fucking bitches out in Hollywood
Bring yo' partners, make sure that my partner's good (fuck me like a pro)
Rockefeller bitches treat me like I'm Jigga
I ain't her nigga, but she fuck me like I'm her nigga
She gon' fuck me like a hoe (give it to me)
I feel like Superman when I hit her
She say I'm black just like I'm Youngsta
The nigga play with us and we dumpin', we on go
Ain't no bitch finna be off limits for you nigga
She know I can fuck whenever I want that's why her ass done got a lil' bigger
She bounce that ass like ""Wow"" (let's go)
Yeah, that's how it sound, we fuck on the ground
She throw it like ""Bow"" (yeah, yeah)
I'm feeling like Creed, I'm 'bout to get beat, throw in the towel (okay)
She fuck me so good, fell in love with it
She know I get nasty, I put my thumb in her butt
Got her falling in love with me (Bitch)
I'm with yo' bitch giving her dick, dog, while you take her in public
The way that I pay attention when that ass clap
You could say that I study it
Suck it like a pro (whore)
Bad bitch, pulled down, popped up, fuck me like a pro (whore)
I'm in California, legs propped up, smoking out the boat
I'm a young rich nigga, bossed up, feed me like a GOAT
Bad bitch, bad bitch, bad bitch, fuck me like a pro (gang, gang)
Bad bitches put your back into it
Broke up with my bitch, you know we back into it (fuck me like a pro)
Fucking bitches out in Hollywood
Bring yo' partners, make sure that my partner's good (fuck me like a pro)"
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),"I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
And I see you (oh), the way I breathe you in (in), it's the texture of your skin
I wanna wrap my arms around you, baby, never let you go, oh
And I say, oh, there's nothing like your touch
It's the way you lift me up, yeah
And I'll be right here with you 'til the end
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
You ain't sure yet, but I'm for ya
All I could want, all I can wish for
Nights alone that we miss more
And days we save as souvenirs
There's no time, I wanna make more time
And give you my whole life
I left my girl, I'm in Mallorca
Hate to leave her, call it torture
Remember when I couldn't hold her
Left her baggage for Rimowa
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
I get the feeling, so I'm sure (sure)
Hand in my hand because I'm yours
I can't, I can't pretend, I can't ignore you're right for me
Don't think you wanna know just where I've been, oh
Done being distracted
The one I need is right in my arms (oh)
Your kisses taste the sweetest with mine
And I'll be right here with you 'til end of time
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
(I get my light right from the source, yeah, yeah)
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
"
Doja Cat,Kiss Me More (feat. SZA),"We hug and yes, we make love
And always just say ""Goodnight"" (la-la-la-la-la)
And we cuddle, sure I do love it
But I need your lips on mine
Can you kiss me more?
We're so young, boy
We ain't got nothin' to lose, oh, oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh, oh
Boy, you write your name, I can do the same
Ooh, I love the taste, la-la-la-la
All on my tongue, I want it (la-la-la-la)
Boy, you write your name, I can do the same
Ooh, I love the taste, la-la-la-la-la
All on my tongue, I want it
I, I feel like fuckin' somethin'
But we could be corny, fuck it
Sugar, I ain't no dummy, dummy
I like to say, what if, but if
We could kiss and just cut the rubbish
Then I might be on to somethin'
I ain't givin' you one in public
I'm givin' you hundreds, fuck it
Somethin' we just gotta get into
Sign first, middle, last, on the wisdom tooth
Niggas wishin' that the pussy was a kissin' booth
Taste breakfast, lunch and gin and juice
And that dinner just like dessert too
And when we French, refresh, gimme two
When I bite that lip, come get me too
He want lipstick, lip gloss, hickeys too, uh
Can you kiss me more?
We're so young, boy
We ain't got nothin' to lose, oh, oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh, oh
Boy, you write your name, I can do the same
Ooh, I love the taste, la-la-la-la
All on my tongue, I want it (la-la-la-la)
Boy, you write your name, I can do the same
Ooh, I love the taste, la-la-la-la-la
All on my tongue, I want it
Say give me a buck, need that gushy stuff
Push the limit, no, you ain't good enough
All your niggas say that you lost without me
All my bitches feel like I dodged the county
Fuckin' with you feel like jail, nigga
I can't even exhale, nigga
Pussy like holy grail, you know that
You gon' make me need bail, you know that
Caught dippin' with your friend
You ain't even have man, lyin' on ya-, you know that
Got me a bag full of brick, you know that
Control, don't slow the pace if I throw back
All this ass for real
Drama make you feel
Fantasy and whip appeal
Is all I can give you
Can you kiss me more?
We're so young, boy
We ain't got nothin' to lose, oh, oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh, oh
Oh, darlin'
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it"
The Weeknd,Blinding Lights,"Yeah
I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby
I look around and
Sin City's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
(Hey, hey, hey)
I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
The city's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
I'm just walking by to let you know (by to let you know)
I can never say it on the phone (say it on the phone)
Will never let you go this time (ooh)
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
(Hey, hey, hey)
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch"
Glass Animals,Heat Waves,"Road shimmer
Wiggling the vision
Heat heat waves
I'm swimming in a mirror
Road shimmer
Wiggling the vision
Heat heat waves
I'm swimming in a
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now
Usually I put
Something on TV
So we never think
About you and me
But today I see
Our reflections
Clearly in Hollywood
Laying on the screen
You just need a better life than this
You need something I can never give
Fake water all across the road
It's gone now the night has come but
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now
You can't fight it
You can't breathe
You say something so loving but
Now I've got to let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I'll say goodbye
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now
I just wonder what you're dreaming of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Heat waves been faking me out
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now
Road shimmer
Wiggling the vision
Heat heat waves
I'm swimming in a mirror
Road shimmer
Wiggling the vision
Heat heat waves
I'm swimming in a mirror
"
Måneskin,Beggin',"Put your loving hand out, baby
'Cause I'm beggin'
I'm beggin', beggin' you
So, put your loving hand out, baby
I'm beggin', beggin' you
So, put your loving hand out, darling
Riding high, when I was king
I played it hard and fast, 'cause I had everything
I walked away, but you warned me then
But easy come, and easy go, and it would end
So, any time I bleed, you let me go
Yeah, any time I feed, you get me, know
Any time I seek, you let me know
But I plan and see, just let me go
I'm on my knees when I'm beggin'
'Cause I don't want to lose you
Hey yeah, ratatata
'Cause I'm beggin', beggin' you
And put your loving hand out, baby
I'm beggin', beggin' you
And put your loving hand out, darling
I need you to understand
Tried so hard to be your man
The kind of man you want in the end
Only then can I begin to live again
An empty shell, I used to be
The shadow of my life was hanging over me
A broken man that I don't know
Won't even stand the devil's chance to win my soul
What we doing? What we chasing?
Why the bottom? Why the basement?
Why we got good shit, don't embrace it?
Why the feel for the need to replace me?
You're the wrong way track from the good
I want to paint a picture telling where we could be at
Like a heart in the best way should
You can give it away, you had, and you took the pay
But I keep walking on, keep opening doors
Keep hoping for, that the door is yours
Keep oh-so home
'Cause I don't wanna live in a broken home
Girl, I'm beggin'
Mmm, ye-e-e-ah
I'm beggin', beggin' you
So, put your loving hand out, baby
I'm beggin', beggin' you
So, put your loving hand out, darling
I'm fighting hard to hold my own
Just can't make it all alone
I'm holding on, I can't fall back
I'm just a calm 'bout to fade to black
I'm beggin', beggin' you
Put your loving hand out, baby
I'm beggin', beggin' you
So, put your loving hand out, darling
I'm beggin', beggin' you
So, put your loving hand out, baby
I'm beggin', beggin' you
So, put your loving hand out, darling
I'm beggin', beggin' you
So, put your loving hand out, baby
I'm beggin', beggin' you
So, put your loving hand out
"
